,tweet_id,favorites,retweets
0,892420643555336193,38004,8310
1,892177421306343426,32634,6139
2,891815181378084864,24552,4064
3,891689557279858688,41347,8455
4,891327558926688256,39531,9154
5,891087950875897856,19865,3046
6,890971913173991426,11606,2018
7,890729181411237888,64126,18435
8,890609185150312448,27277,4182
9,890240255349198849,31298,7214
10,890006608113172480,30079,7170
11,889880896479866881,27276,4864
12,889665388333682689,47193,9819
13,889638837579907072,26634,4432
14,889531135344209921,14831,2198
15,889278841981685760,24767,5253
16,888917238123831296,28566,4401
17,888804989199671297,25077,4192
18,888554962724278272,19444,3471
19,888078434458587136,21335,3415
20,887705289381826560,29602,5275
21,887517139158093824,45400,11420
22,887473957103951883,67722,17766
23,887343217045368832,33045,10171
24,887101392804085760,29993,5832
25,886983233522544640,34473,7601
26,886736880519319552,11833,3209
27,886680336477933568,21998,4363
28,886366144734445568,20790,3130
29,886267009285017600,116,4
30,886258384151887873,27470,6145
31,886054160059072513,0,105
32,885984800019947520,32029,6631
33,885528943205470208,35312,6286
34,885518971528720385,20045,3676
35,885311592912609280,0,18153
36,885167619883638784,21510,4291
37,884925521741709313,75919,17854
38,884876753390489601,27395,5487
39,884562892145688576,23838,4589
40,884441805382717440,26485,5534
41,884247878851493888,71631,20060
42,884162670584377345,19961,2922
43,883838122936631299,21484,3374
44,883482846933004288,45061,9721
45,883360690899218434,22256,3622
46,883117836046086144,36463,6526
47,882992080364220416,23496,3839
48,882762694511734784,27764,4812
49,882627270321602560,27411,5952
50,882268110199369728,44093,11354
51,882045870035918850,28810,4861
52,881906580714921986,23853,3322
53,881666595344535552,49640,10446
54,881633300179243008,124,7
55,881536004380872706,48505,15611
56,881268444196462592,22655,5071
57,880935762899988482,16692,2730
58,880872448815771648,20867,3741
59,880465832366813184,28002,6146
60,880221127280381952,26550,4128
61,880095782870896641,27116,4262
62,879862464715927552,21913,3430
63,879674319642796034,305,10
64,879492040517615616,22999,3116
65,879415818425184262,103947,43399
66,879376492567855104,16470,3054
67,879130579576475649,0,6694
68,879050749262655488,22139,4629
69,879008229531029506,18635,2645
70,878776093423087618,19061,4048
71,878604707211726852,29714,7067
72,878404777348136964,0,1267
73,878316110768087041,0,6525
74,878281511006478336,7603,1267
75,878057613040115712,41280,6694
76,877736472329191424,78325,18731
77,877611172832227328,0,79
78,877556246731214848,22328,3739
